source,project,author,url,statusCode,category,method,finalUrl,error
referencioteca,El Delantal Vestido,Catalina Harasic,https://www.linkedin.com/in/catalina-harasic-gil-9239a844/details/projects/?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAlm0SsBad8u2IpnSwXl7YUI3xvZq3sFM21,999,server_error,GET,https://www.linkedin.com/in/catalina-harasic-gil-9239a844/details/projects/?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAlm0SsBad8u2IpnSwXl7YUI3xvZq3sFM21,
referencioteca,Zipi,Maximiliano Contreras,https://www.instagram.com/zipi.cl/,200,ok,HEAD,https://www.instagram.com/zipi.cl/,
referencioteca,Postres Paula,Paulina Astudillo,https://www.instagram.com/p/DU3QMA-kVtX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,200,ok,HEAD,https://www.instagram.com/p/DU3QMA-kVtX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
referencioteca,Vestigios,Carolina Pacheco,https://www.caropacheco.work/vestigios,200,ok,HEAD,https://www.caropacheco.work/vestigios,
referencioteca,El Delantal Vestido,Camila Ríos,https://camilarios.com/el-delantal-vestido,200,ok,HEAD,https://camilarios.com/el-delantal-vestido,
referencioteca,El Delantal Vestido,Camila Ríos,https://www.instagram.com/p/DB2ONWqujBV/?img_index=1,200,ok,HEAD,https://www.instagram.com/p/DB2ONWqujBV/?img_index=1,
referencioteca,Sonic Ecologies 2.0,Joaquín Rosas,https://joaquinrosas.com/SONIC-ECOLOGIES-EXHIBITION,200,ok,HEAD,https://joaquinrosas.com/SONIC-ECOLOGIES-EXHIBITION,
referencioteca,Gubii Bags,Joaquín Rosas,https://joaquinrosas.com/GUBII-BAGS,200,ok,HEAD,https://joaquinrosas.com/GUBII-BAGS,
referencioteca,Antiquity Collection,Sebastián Errázuriz,https://sebastian.studio/storage-antiquity-bookshelf,200,ok,HEAD,https://sebastian.studio/storage-antiquity-bookshelf,
referencioteca,IMAGINE ARTIFICIAL GENERAL INTELLIGENCE,Sebastián Errázuriz,https://sebastian.studio/imagine-book,200,ok,HEAD,https://sebastian.studio/imagine-book,
referencioteca,Melissa + Sebastián,Sebastián Errázuriz,https://sebastian.studio/brands-melissa-sebastian,200,ok,HEAD,https://sebastian.studio/brands-melissa-sebastian,
referencioteca,Encuentros,Ignacia Murtagh,https://ignaciamurtagh.com/collections/#/encuentros/,200,ok,HEAD,https://ignaciamurtagh.com/collections/,
referencioteca,Bancas Lapis. Palacio Pereira,Ignacia Murtagh,https://ignaciamurtagh.com/collections#/palacio-pereira/,200,ok,HEAD,https://ignaciamurtagh.com/collections,
referencioteca,Woven Landscapes. Gallura,Ignacia Murtagh,https://ignaciamurtagh.com/collections#/woven-landscapes/,200,ok,HEAD,https://ignaciamurtagh.com/collections,
referencioteca,Across Andes 2025 Volcano Edition,Joaquín Rosas,https://joaquinrosas.com/ACROSS-ANDES-MAP,200,ok,HEAD,https://joaquinrosas.com/ACROSS-ANDES-MAP,
referencioteca,Natural Killer,Leopoldo Herrera,https://www.behance.net/gallery/210222175/Natural-Killer-Boardgame,200,ok,HEAD,https://www.behance.net/gallery/210222175/Natural-Killer-Boardgame,
referencioteca,Con Devuelta,Isabel Díaz-del Río,https://condevuelta.cl,200,ok,HEAD,https://condevuelta.cl/,
referencioteca,Con Devuelta,Isabel Díaz-del Río,https://www.elmostrador.cl/agenda-pais/agenda-innovacion/2023/08/31/con-devuelta-la-startup-que-busca-eliminar-el-packaging-desechable-en-los-locales-de-comida/,200,ok,HEAD,https://www.elmostrador.cl/agenda-pais/agenda-innovacion/2023/08/31/con-devuelta-la-startup-que-busca-eliminar-el-packaging-desechable-en-los-locales-de-comida/,
referencioteca,Calcáreo,Carolina Pacheco,https://www.caropacheco.work/calcareo,200,ok,HEAD,https://www.caropacheco.work/calcareo,
referencioteca,AjuarParn,Camila Ríos,https://camilarios.com/parn,200,ok,HEAD,https://camilarios.com/parn,
referencioteca,Guaico,Joaquín Gajardo,https://www.gaja.studio/proyectos/proyecto-guaico,200,ok,HEAD,https://www.gaja.studio/proyectos/proyecto-guaico,
referencioteca,A Punto,María José Díaz,https://www.blancaestudio.com/apunto,200,ok,HEAD,https://www.blancaestudio.com/apunto,
referencioteca,VSPT,María José Díaz,https://www.blancaestudio.com/vspt,200,ok,HEAD,https://www.blancaestudio.com/vspt,
referencioteca,Resurgir: un poema a las raíces,Magdalena Sáez,https://www.behance.net/gallery/234618837/Resurgir,200,ok,HEAD,https://www.behance.net/gallery/234618837/Resurgir,
referencioteca,Resurgir: un poema a las raíces,María Jesús Vallejos,https://www.behance.net/gallery/234618837/Resurgir,200,ok,HEAD,https://www.behance.net/gallery/234618837/Resurgir,
referencioteca,Resurgir: un poema a las raíces,Sebastián Tala,https://www.behance.net/gallery/234618837/Resurgir,200,ok,HEAD,https://www.behance.net/gallery/234618837/Resurgir,
referencioteca,Resurgir: un poema a las raíces,Giuliana Mellafe,https://www.behance.net/gallery/234618837/Resurgir,200,ok,HEAD,https://www.behance.net/gallery/234618837/Resurgir,
referencioteca,Resurgir: un poema a las raíces,Josefina Véliz,https://www.behance.net/gallery/234618837/Resurgir,200,ok,HEAD,https://www.behance.net/gallery/234618837/Resurgir,
referencioteca,Bote de pesca,Alejandra Echeverría,https://www.behance.net/gallery/201814673/BDPManual-de-Marca,200,ok,HEAD,https://www.behance.net/gallery/201814673/BDPManual-de-Marca,
referencioteca,Candelabro Lollapalooza 2026,Carlos Nauto Paez,https://www.instagram.com/p/DV6uYi7Cek4/?img_index=8,200,ok,HEAD,https://www.instagram.com/p/DV6uYi7Cek4/?img_index=8,
referencioteca,Pedro Ruminot - Festival de Viña del Mar 2027,Carlos Nauto Paez,https://www.instagram.com/p/DGt_-6PuOwo/?img_index=1,200,ok,HEAD,https://www.instagram.com/p/DGt_-6PuOwo/?img_index=1,
referencioteca,Juan Pablo López - Festival de Viña del Mar 2026,Carlos Nauto Paez,https://www.instagram.com/p/DGouSMEu-Dc/?img_index=1,200,ok,HEAD,https://www.instagram.com/p/DGouSMEu-Dc/?img_index=1,
referencioteca,Palabras marchitas,Aribel González,https://ariariari.com/Palabras-Marchitas,200,ok,HEAD,https://ariariari.com/Palabras-Marchitas,
